session_id,day,total_pnl,emerald_pnl,tomato_pnl,total_slope_per_step,total_r2,emerald_slope_per_step,emerald_r2,tomato_slope_per_step,tomato_r2
56,-2,9481.0,6621.0,2860.0,0.9635481494184815,0.9924606708390585,0.6640074780820748,0.9978190861499566,0.2995406713364067,0.9498002136611953
57,-1,10582.5,7462.0,3120.5,1.1143350590443506,0.988831163508964,0.7482908518209085,0.9981198304064756,0.36604420722344205,0.9383908728411496
58,-2,9775.0,6958.0,2817.0,1.0132207263267072,0.9949315745058187,0.7175861713378617,0.9976684724428567,0.29563455498884555,0.9397687016290284
59,-1,13106.0,7686.0,5420.0,1.291983297408333,0.9893732340684028,0.79142699804427,0.9938364300392454,0.500556299364063,0.9179688201139978
60,-2,9185.5,6917.0,2268.5,0.9489357512478576,0.9986837466233847,0.7059930642939306,0.9959607660337373,0.24294268695392687,0.9650222992242607
61,-1,11294.0,8129.0,3165.0,1.1572656849571568,0.9916043738457611,0.847310207353102,0.9947823824408822,0.3099554776040548,0.9218814871329889
62,-2,8720.5,6841.0,1879.5,0.9204384429333844,0.989935201772204,0.6913344617833446,0.9956417736229753,0.2291039811500398,0.8676688837952191
63,-1,9872.25,7540.0,2332.25,0.9617227556137276,0.9946391114207277,0.7570395343843953,0.9974813373867624,0.20468322122933222,0.9088900887738138
64,-2,11331.0,7497.0,3834.0,1.186808301430583,0.9894951678160908,0.7447570635135706,0.9937182028555628,0.4420512379170124,0.900976611685922
65,-1,9293.25,7032.0,2261.25,0.9347621617766216,0.9939931617894144,0.6832131761621317,0.9975018317493939,0.25154898561448985,0.9413022635834347
66,-2,10187.75,7394.0,2793.75,1.0446428199049282,0.9938048646043194,0.7159928851939289,0.9916784313138176,0.32864993471099935,0.9450020975706503
67,-1,9406.0,7476.0,1930.0,0.989627391936774,0.9838536740545867,0.7384356308863563,0.9980179467840702,0.25119176105041763,0.7882968006497305
68,-2,10389.0,7476.0,2913.0,1.0401965553114656,0.993424968495854,0.7656271465622715,0.9854777492518485,0.2745694087491941,0.9875313475603363
